Model,Attempt,Epoch Undergo FE,Epoch UndergoFT,Training Time (s),Loss,Accuracy (%),Correct Predictions (Out of 60)
MobileNetV2,1,50,24,517.7163317,0.175320312,91.66666865,55
MobileNetV2,2,50,35,687.1676123,0.213438571,89.99999762,54
MobileNetV2,3,50,11,407.0138719,0.294573188,86.66666746,52
MobileNetV2,4,50,23,493.4965336,0.294609666,83.33333135,50
MobileNetV2,5,50,15,413.3053994,0.376631051,86.66666746,52
Xception,1,50,40,2989.711966,0.260950923,88.33333254,53
Xception,2,50,16,1634.077357,0.317551225,86.66666746,52
Xception,3,50,25,2391.218972,0.260533959,83.33333135,49
Xception,4,50,30,2438.708314,0.443518668,81.66666627,49
Xception,5,50,20,2042.994992,0.320560783,88.33333254,51
InceptionV3,1,50,14,868.7910004,0.245307133,85.00000238,53
InceptionV3,2,50,19,1232.580611,0.241661385,93.33333373,56
InceptionV3,3,50,9,778.8518999,0.331643075,86.66666746,53
InceptionV3,4,50,28,1468.329334,0.108777061,94.99999881,58
InceptionV3,5,50,12,1030.773643,0.264583677,89.99999762,53
ResNet50,1,50,5,1481.510553,0.448612332,78.33333611,47
ResNet50,2,50,17,1706.889999,0.248281062,89.99999762,53
ResNet50,3,50,8,1212.053638,0.541658938,80.00000119,48
ResNet50,4,50,12,1373.995852,0.092199914,98.33333492,58
ResNet50,5,50,8,1232.011768,0.264274389,88.33333254,50
VGG16,1,50,12,3426.41815,0.266854405,91.66666865,53
VGG16,2,50,12,3460.012987,0.271831036,83.33333135,51
VGG16,3,50,13,3609.74579,0.337441593,89.99999762,53
VGG16,4,50,20,4751.740497,0.348768026,89.99999762,52
VGG16,5,50,21,4505.609891,0.299182326,94.99999881,57
VGG19,1,7,16,2031.122046,0.289063633,93.33333373,56
VGG19,2,30,11,1028.079601,0.446032822,86.66666746,49
VGG19,3,50,19,3252.008306,0.26086098,91.66666865,52
VGG19,4,7,12,1415.816925,0.297114819,86.66666746,52
VGG19,5,50,11,1306.896065,0.242000654,86.66666746,53
